GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
safetynetalerts,com.safetynet.safetynetalerts.dto,HouseholdInfoDTO,0,29,0,0,0,8,0,1,0,1
safetynetalerts,com.safetynet.safetynetalerts.dto,FireDTO,0,29,0,0,0,8,0,1,0,1
safetynetalerts,com.safetynet.safetynetalerts.dto,FireStationDTO,0,43,0,0,0,14,0,2,0,2
safetynetalerts,com.safetynet.safetynetalerts.dto,ChildAlertDTO,0,17,0,0,0,5,0,1,0,1
safetynetalerts,com.safetynet.safetynetalerts.controller,PersonController,0,46,0,0,0,14,0,7,0,7
safetynetalerts,com.safetynet.safetynetalerts.controller,MedicalRecordController,0,28,0,0,0,11,0,4,0,4
safetynetalerts,com.safetynet.safetynetalerts.controller,FireStationController,0,49,0,0,0,14,0,8,0,8
safetynetalerts,com.safetynet.safetynetalerts.util,EntityUpdater,0,45,0,4,0,11,0,4,0,2
safetynetalerts,com.safetynet.safetynetalerts,SafetynetAlertsApplication,0,15,0,0,0,5,0,3,0,3
safetynetalerts,com.safetynet.safetynetalerts.service,JacksonService,0,61,0,0,0,17,0,4,0,4
safetynetalerts,com.safetynet.safetynetalerts.service,FireStationService,0,285,0,24,0,81,0,23,0,11
safetynetalerts,com.safetynet.safetynetalerts.service,DataPersistenceService,0,34,0,0,0,10,0,2,0,2
safetynetalerts,com.safetynet.safetynetalerts.service,PersonService,0,201,0,26,0,52,0,22,0,9
safetynetalerts,com.safetynet.safetynetalerts.service,CalculateAgeService,0,24,0,2,0,6,0,4,0,3
safetynetalerts,com.safetynet.safetynetalerts.service,MedicalRecordService,0,21,0,0,0,9,0,4,0,4
safetynetalerts,com.safetynet.safetynetalerts.aspect,LoggingAspect,0,69,0,0,0,21,0,7,0,7
safetynetalerts,com.safetynet.safetynetalerts.config,JacksonConfig,0,47,0,0,0,13,0,4,0,4
safetynetalerts,com.safetynet.safetynetalerts.exception,GlobalExceptionHandler,0,51,0,0,0,14,0,6,0,6
safetynetalerts,com.safetynet.safetynetalerts.repository,MedicalRecordRepository,0,148,0,22,0,44,0,19,0,8
safetynetalerts,com.safetynet.safetynetalerts.repository,FireStationRepository,0,126,0,6,0,41,0,13,0,10
safetynetalerts,com.safetynet.safetynetalerts.repository,PersonRepository,0,233,0,12,0,71,0,24,0,18
